respondent_id,age,gender,profession,education_level,years_of_experience,hospital_type,hospital_location,ai_awareness_q1,ai_awareness_q2,ai_awareness_q3,ai_awareness_q4,ai_awareness_score,privacy_q1,privacy_q2,privacy_q3,privacy_q4,privacy_score,human_factor_q1,human_factor_q2,human_factor_q3,human_factor_q4,human_factor_score,infrastructure_q1,infrastructure_q2,infrastructure_q3,infrastructure_q4,infrastructure_q5,infrastructure_score,adoption_q1,adoption_q2,adoption_q3,adoption_q4,adoption_readiness_score,adoption_readiness_category
11,23,Male,Doctor,Bachelor's (completed),0,NGO/Other,Semi-Urban,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.5,3.0,2.0,3.0,,2.6666666666666665,3.0,3.0,4.0,3.0,4.0,3.4,2.0,2.0,2.0,3.0,2.25,Low
12,50,Female,Nurse,Bachelor's (ongoing),20,Public,Semi-Urban,4.0,3.0,3.0,3.0,3.25,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.6,3.0,3.0,5.0,4.0,3.75,Medium
13,42,Female,Doctor,Postgraduate/Doctoral,13,Public,Dhaka,5.0,4.0,,4.0,4.333333333333333,4.0,5.0,4.0,4.0,4.25,2.0,3.0,3.0,2.0,2.5,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.25,Low
14,28,Female,Nurse,Secondary/HSC,3,Public,Other Urban,2.0,2.0,1.0,1.0,1.5,2.0,4.0,,4.0,3.3333333333333335,2.0,4.0,3.0,2.0,2.75,1.0,2.0,1.0,2.0,2.0,1.6,2.0,2.0,2.0,1.0,1.75,Low
15,28,Male,Nurse,Bachelor's (completed),5,Not Applicable,Semi-Urban,3.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,3.5,2.0,3.0,3.0,2.0,2.5,4.0,3.0,3.0,,2.0,3.0,3.0,4.0,4.0,1.0,3.0,Medium
16,28,Male,Hospital Administrator,Bachelor's (completed),6,Public,Dhaka,4.0,4.0,3.0,4.0,3.75,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.25,3.0,3.0,4.0,4.0,4.0,3.6,2.0,3.0,2.0,2.0,2.25,Low
17,30,Female,Nurse,Bachelor's (ongoing),3,NGO/Other,Other Urban,3.0,2.0,3.0,2.0,2.5,3.0,3.0,4.0,4.0,3.5,3.0,5.0,3.0,3.0,3.5,3.0,3.0,2.0,2.0,3.0,2.6,3.0,4.0,2.0,3.0,3.0,Medium
18,35,Male,Doctor,Postgraduate/Doctoral,7,Public,Dhaka,3.0,5.0,3.0,4.0,3.75,2.0,2.0,2.0,3.0,2.25,3.0,5.0,4.0,3.0,3.75,2.0,3.0,2.0,2.0,,2.25,3.0,4.0,4.0,3.0,3.5,Medium
19,33,Female,Hospital Administrator,Bachelor's (ongoing),8,Not Applicable,Dhaka,1.0,1.0,2.0,1.0,1.25,3.0,4.0,3.0,4.0,3.5,3.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,,3.0,3.75,2.0,2.0,1.0,1.0,1.5,Low
20,30,Female,Nurse,Bachelor's (completed),7,Public,Rural,4.0,4.0,4.0,5.0,4.25,5.0,4.0,4.0,4.0,4.25,2.0,1.0,3.0,,2.0,2.0,3.0,3.0,3.0,3.0,2.8,5.0,5.0,3.0,4.0,4.25,High
21,37,Female,IT Staff,Bachelor's (completed),8,Public,Chattogram,3.0,3.0,5.0,2.0,3.25,1.0,1.0,2.0,1.0,1.25,1.0,3.0,1.0,2.0,1.75,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.5,High
22,26,Male,Doctor,Bachelor's (completed),3,Private,Semi-Urban,3.0,3.0,2.0,2.0,2.5,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.5,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.5,Medium
23,30,Female,Doctor,Bachelor's (completed),6,Public,Semi-Urban,1.0,,1.0,2.0,1.3333333333333333,3.0,4.0,3.0,4.0,3.5,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.4,2.0,2.0,3.0,2.0,2.25,Low
24,32,Female,Nurse,Postgraduate/Doctoral,5,Private,Not Applicable,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.75,2.0,3.0,3.0,2.0,2.5,4.0,2.0,4.0,4.0,3.0,3.4,4.0,4.0,3.0,4.0,3.75,Medium
25,33,Female,Nurse,Bachelor's (completed),6,Private,Chattogram,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.75,1.0,2.0,1.0,1.0,1.25,3.0,4.0,3.0,3.0,4.0,3.4,3.0,5.0,4.0,4.0,4.0,High
26,41,Male,Nurse,Postgraduate/Doctoral,11,Private,Chattogram,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.25,3.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.4,4.0,5.0,4.0,4.0,4.25,High
27,28,Male,Healthcare Student,Bachelor's (completed),0,Public,Dhaka,4.0,5.0,4.0,4.0,4.25,3.0,3.0,3.0,,3.0,2.0,2.0,3.0,2.0,2.25,5.0,4.0,5.0,5.0,4.0,4.6,3.0,5.0,4.0,3.0,3.75,Medium
28,35,Male,Nurse,Bachelor's (completed),11,Private,Other Urban,4.0,4.0,3.0,4.0,3.75,2.0,2.0,2.0,,2.0,3.0,4.0,3.0,3.0,3.25,3.0,4.0,3.0,2.0,2.0,2.8,2.0,1.0,2.0,1.0,1.5,Low
29,36,Male,Hospital Administrator,Bachelor's (completed),6,Public,Chattogram,3.0,3.0,3.0,3.0,3.0,2.0,2.0,,3.0,2.3333333333333335,2.0,3.0,2.0,2.0,2.25,5.0,4.0,4.0,5.0,4.0,4.4,5.0,5.0,5.0,5.0,5.0,High
30,24,Female,Hospital Administrator,Postgraduate/Doctoral,0,Not Applicable,Semi-Urban,,3.0,4.0,5.0,4.0,1.0,1.0,2.0,,1.3333333333333333,2.0,1.0,3.0,2.0,2.0,,1.0,2.0,3.0,3.0,2.25,3.0,4.0,4.0,3.0,3.5,Medium
31,36,Female,Doctor,Postgraduate/Doctoral,8,Private,Dhaka,4.0,4.0,3.0,4.0,3.75,5.0,5.0,4.0,4.0,4.5,,3.0,4.0,3.0,3.3333333333333335,4.0,3.0,3.0,4.0,4.0,3.6,3.0,4.0,4.0,3.0,3.5,Medium
32,27,Female,Hospital Administrator,Bachelor's (completed),1,Private,Dhaka,3.0,4.0,4.0,4.0,3.75,4.0,3.0,4.0,3.0,3.5,2.0,2.0,2.0,3.0,2.25,2.0,2.0,1.0,2.0,2.0,1.8,3.0,3.0,2.0,3.0,2.75,Medium
33,24,Male,Nurse,Bachelor's (completed),1,NGO/Other,Rural,5.0,4.0,5.0,5.0,4.75,1.0,3.0,2.0,3.0,2.25,2.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,3.2,4.0,5.0,4.0,3.0,4.0,High
34,48,Male,Nurse,Bachelor's (completed),15,Private,Semi-Urban,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,4.25,4.0,3.0,3.0,4.0,3.5,4.0,3.0,4.0,4.0,4.0,3.8,3.0,4.0,3.0,4.0,3.5,Medium
35,50,Male,Doctor,Bachelor's (completed),18,Private,Dhaka,4.0,5.0,4.0,4.0,4.25,5.0,4.0,4.0,4.0,4.25,5.0,4.0,4.0,4.0,4.25,1.0,3.0,1.0,2.0,1.0,1.6,2.0,2.0,2.0,2.0,2.0,Low
36,42,Male,Healthcare Student,Bachelor's (ongoing),1,Public,Semi-Urban,2.0,2.0,3.0,1.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.25,4.0,4.0,3.0,3.0,3.0,3.4,3.0,4.0,4.0,3.0,3.5,Medium
37,30,Male,Other,Bachelor's (ongoing),4,Private,Chattogram,3.0,3.0,2.0,2.0,2.5,2.0,2.0,1.0,2.0,1.75,4.0,4.0,5.0,4.0,4.25,4.0,4.0,4.0,4.0,3.0,3.8,3.0,4.0,3.0,4.0,3.5,Medium
38,25,Male,Doctor,Postgraduate/Doctoral,2,Public,Semi-Urban,5.0,5.0,5.0,5.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.75,3.0,3.0,3.0,4.0,3.0,3.2,5.0,5.0,5.0,5.0,5.0,High
39,38,Male,Hospital Administrator,Bachelor's (completed),8,Public,Chattogram,4.0,4.0,4.0,,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.25,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,Medium
40,33,Female,Healthcare Student,Bachelor's (completed),1,Not Applicable,Other Urban,5.0,5.0,5.0,4.0,4.75,,2.0,2.0,3.0,2.3333333333333335,1.0,2.0,1.0,2.0,1.5,3.0,4.0,2.0,5.0,4.0,3.6,5.0,5.0,5.0,5.0,5.0,High
41,26,Male,Nurse,Bachelor's (completed),2,Public,Dhaka,3.0,3.0,4.0,3.0,3.25,3.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,4.25,4.0,3.0,,4.0,4.0,3.75,3.0,4.0,3.0,3.0,3.25,Medium
42,34,Female,Healthcare Student,Bachelor's (completed),1,NGO/Other,Dhaka,4.0,5.0,5.0,5.0,4.75,3.0,4.0,3.0,,3.3333333333333335,5.0,4.0,4.0,5.0,4.5,4.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.5,Medium
43,23,Female,IT Staff,Bachelor's (ongoing),0,Public,Semi-Urban,3.0,4.0,4.0,3.0,3.5,4.0,3.0,3.0,3.0,3.25,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.4,3.0,4.0,3.0,3.0,3.25,Medium
44,46,Male,Other,Postgraduate/Doctoral,24,Public,Chattogram,2.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.75,3.0,3.0,4.0,3.0,3.25,3.0,4.0,4.0,4.0,4.0,3.8,2.0,1.0,1.0,1.0,1.25,Low
45,29,Female,Other,Bachelor's (ongoing),4,NGO/Other,Dhaka,1.0,2.0,1.0,1.0,1.25,5.0,4.0,4.0,5.0,4.5,3.0,4.0,3.0,4.0,3.5,4.0,4.0,5.0,5.0,4.0,4.4,2.0,4.0,4.0,1.0,2.75,Medium
46,38,Female,Doctor,Bachelor's (completed),11,Public,Dhaka,4.0,3.0,3.0,4.0,3.5,4.0,5.0,5.0,4.0,4.5,4.0,,3.0,4.0,3.6666666666666665,4.0,3.0,3.0,4.0,3.0,3.4,4.0,5.0,3.0,4.0,4.0,High
47,30,Male,Nurse,Bachelor's (ongoing),5,Private,Chattogram,1.0,1.0,3.0,1.0,1.5,5.0,3.0,4.0,,4.0,2.0,2.0,2.0,3.0,2.25,3.0,3.0,4.0,4.0,3.0,3.4,3.0,1.0,3.0,1.0,2.0,Low
48,35,Male,Hospital Administrator,Bachelor's (completed),8,Private,Semi-Urban,4.0,3.0,3.0,3.0,3.25,4.0,5.0,5.0,4.0,4.5,4.0,2.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,4.8,4.0,4.0,4.0,5.0,4.25,High
49,35,Female,Doctor,Postgraduate/Doctoral,7,NGO/Other,Dhaka,3.0,3.0,3.0,2.0,2.75,3.0,3.0,4.0,,3.3333333333333335,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,,3.5,3.0,3.0,3.0,4.0,3.25,Medium
50,28,Male,Nurse,Bachelor's (completed),3,Public,Semi-Urban,5.0,5.0,4.0,5.0,4.75,2.0,1.0,2.0,2.0,1.75,2.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.2,1.0,2.0,3.0,3.0,2.25,Low
51,50,Male,Other,Postgraduate/Doctoral,17,Private,Rural,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,3.0,4.0,3.0,4.0,4.0,3.6,3.0,3.0,3.0,2.0,2.75,Medium
52,41,Male,Doctor,Postgraduate/Doctoral,18,Private,Dhaka,,5.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.75,3.0,3.0,3.0,3.0,3.0,5.0,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.75,High
53,47,Female,Nurse,Bachelor's (completed),19,Public,Semi-Urban,1.0,2.0,1.0,1.0,1.25,4.0,5.0,3.0,5.0,4.25,2.0,3.0,2.0,2.0,2.25,3.0,4.0,3.0,4.0,5.0,3.8,3.0,3.0,3.0,3.0,3.0,Medium
54,45,Female,Healthcare Student,Bachelor's (ongoing),0,Private,Dhaka,4.0,3.0,3.0,4.0,3.5,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.4,3.0,3.0,4.0,4.0,3.5,Medium
55,36,Female,Nurse,Bachelor's (completed),9,Public,Chattogram,2.0,2.0,1.0,1.0,1.5,4.0,4.0,5.0,5.0,4.5,3.0,1.0,1.0,2.0,1.75,2.0,2.0,1.0,1.0,1.0,1.4,2.0,2.0,2.0,2.0,2.0,Low
56,46,Female,Nurse,Bachelor's (completed),15,Private,Dhaka,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.8,5.0,4.0,5.0,5.0,4.75,High
57,25,Male,Other,Bachelor's (ongoing),2,Public,Dhaka,3.0,2.0,3.0,2.0,2.5,4.0,,3.0,3.0,3.3333333333333335,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.25,Low
58,28,Female,Nurse,Postgraduate/Doctoral,6,Public,Dhaka,3.0,4.0,3.0,3.0,3.25,4.0,,2.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,5.0,3.8,4.0,5.0,5.0,5.0,4.75,High
59,24,Male,Doctor,Postgraduate/Doctoral,2,Private,Dhaka,4.0,4.0,4.0,3.0,3.75,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,High
60,31,Male,Doctor,Postgraduate/Doctoral,4,Private,Semi-Urban,3.0,2.0,1.0,3.0,2.25,4.0,5.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,1.5,3.0,2.0,2.0,3.0,3.0,2.6,5.0,4.0,5.0,4.0,4.5,High
61,32,Female,Other,Postgraduate/Doctoral,1,Public,Other Urban,,3.0,2.0,3.0,2.6666666666666665,3.0,3.0,3.0,2.0,2.75,2.0,1.0,1.0,1.0,1.25,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.75,High
62,30,Male,Nurse,Bachelor's (completed),8,Public,Rural,2.0,2.0,,2.0,2.0,4.0,3.0,4.0,3.0,3.5,3.0,4.0,4.0,3.0,3.5,2.0,3.0,3.0,2.0,2.0,2.4,3.0,2.0,1.0,2.0,2.0,Low
63,42,Female,Hospital Administrator,Bachelor's (ongoing),17,Public,Other Urban,2.0,2.0,3.0,3.0,2.5,4.0,4.0,5.0,4.0,4.25,5.0,5.0,5.0,3.0,4.5,3.0,2.0,2.0,1.0,3.0,2.2,1.0,1.0,1.0,1.0,1.0,Low
64,31,Female,Doctor,Postgraduate/Doctoral,10,Private,Other Urban,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,1.0,1.5,4.0,4.0,3.0,,5.0,4.0,4.0,3.0,3.0,4.0,3.5,Medium
65,30,Female,Nurse,Bachelor's (ongoing),6,NGO/Other,Dhaka,4.0,3.0,2.0,3.0,3.0,2.0,5.0,3.0,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.6,3.0,3.0,4.0,3.0,3.25,Medium
66,35,Female,Other,Bachelor's (completed),8,Private,Other Urban,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.75,4.0,,4.0,3.0,3.6666666666666665,3.0,3.0,4.0,4.0,4.0,3.6,3.0,3.0,3.0,3.0,3.0,Medium
67,27,Female,Hospital Administrator,Bachelor's (completed),3,Private,Chattogram,3.0,4.0,3.0,2.0,3.0,,3.0,2.0,,2.5,2.0,2.0,2.0,3.0,2.25,2.0,3.0,3.0,3.0,2.0,2.6,3.0,4.0,4.0,4.0,3.75,Medium
68,41,Male,Other,Bachelor's (completed),11,Public,Rural,2.0,2.0,3.0,3.0,2.5,5.0,5.0,4.0,,4.666666666666667,2.0,1.0,1.0,2.0,1.5,3.0,3.0,3.0,3.0,4.0,3.2,3.0,2.0,2.0,3.0,2.5,Low
69,25,Male,Nurse,Postgraduate/Doctoral,1,Not Applicable,Not Applicable,3.0,3.0,5.0,4.0,3.75,4.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.25,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,4.0,4.0,High
70,53,Male,Hospital Administrator,Bachelor's (ongoing),22,Public,Dhaka,2.0,3.0,1.0,3.0,2.25,4.0,3.0,4.0,4.0,3.75,4.0,4.0,4.0,2.0,3.5,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.75,Medium
71,40,Male,Healthcare Student,Bachelor's (ongoing),1,Private,Other Urban,2.0,1.0,1.0,1.0,1.25,1.0,1.0,2.0,2.0,1.5,5.0,4.0,5.0,5.0,4.75,2.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,Low
72,28,Male,Nurse,Bachelor's (completed),5,Public,Other Urban,4.0,4.0,5.0,4.0,4.25,2.0,2.0,1.0,2.0,1.75,2.0,2.0,3.0,2.0,2.25,3.0,3.0,2.0,2.0,3.0,2.6,4.0,3.0,2.0,3.0,3.0,Medium
73,22,Female,Nurse,Bachelor's (completed),4,Public,Other Urban,,4.0,4.0,3.0,3.6666666666666665,3.0,3.0,4.0,3.0,3.25,1.0,1.0,2.0,3.0,1.75,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,High
74,42,Male,Healthcare Student,Bachelor's (ongoing),0,Not Applicable,Dhaka,2.0,1.0,1.0,1.0,1.25,4.0,3.0,3.0,3.0,3.25,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.8,1.0,2.0,1.0,1.0,1.25,Low
75,39,Male,Nurse,Secondary/HSC,17,Public,Other Urban,2.0,3.0,2.0,2.0,2.25,1.0,1.0,1.0,2.0,1.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.5,Low
76,39,Male,Hospital Administrator,Bachelor's (completed),14,Public,Semi-Urban,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.75,3.0,3.0,3.0,4.0,3.25,2.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,Low
77,40,Male,Other,Bachelor's (completed),16,Public,Dhaka,2.0,3.0,3.0,2.0,2.5,3.0,1.0,2.0,1.0,1.75,,2.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.2,4.0,3.0,4.0,3.0,3.5,Medium
78,25,Female,Doctor,Postgraduate/Doctoral,1,Not Applicable,Other Urban,4.0,3.0,3.0,4.0,3.5,4.0,4.0,5.0,4.0,4.25,2.0,1.0,2.0,1.0,1.5,3.0,3.0,3.0,2.0,2.0,2.6,3.0,5.0,4.0,5.0,4.25,High
79,31,Female,Nurse,Bachelor's (ongoing),9,Private,Dhaka,2.0,3.0,2.0,1.0,2.0,3.0,3.0,,3.0,3.0,4.0,4.0,3.0,2.0,3.25,5.0,5.0,4.0,4.0,5.0,4.6,3.0,2.0,2.0,1.0,2.0,Low
80,26,Female,Doctor,Postgraduate/Doctoral,6,NGO/Other,Rural,3.0,3.0,4.0,4.0,3.5,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.25,4.0,3.0,5.0,5.0,5.0,4.4,4.0,3.0,4.0,4.0,3.75,Medium
81,43,Female,Nurse,Bachelor's (ongoing),15,NGO/Other,Dhaka,3.0,4.0,3.0,4.0,3.5,5.0,,4.0,4.0,4.333333333333333,5.0,5.0,5.0,4.0,4.75,3.0,4.0,4.0,3.0,3.0,3.4,2.0,2.0,3.0,3.0,2.5,Low
82,37,Male,Doctor,Bachelor's (completed),12,NGO/Other,Dhaka,3.0,3.0,4.0,3.0,3.25,3.0,4.0,4.0,4.0,3.75,3.0,3.0,2.0,1.0,2.25,3.0,3.0,4.0,,4.0,3.5,3.0,3.0,2.0,3.0,2.75,Medium
83,31,Female,IT Staff,Bachelor's (completed),5,Private,Dhaka,5.0,5.0,4.0,4.0,4.5,4.0,5.0,4.0,4.0,4.25,2.0,1.0,1.0,2.0,1.5,3.0,3.0,4.0,4.0,3.0,3.4,2.0,4.0,2.0,2.0,2.5,Low
84,24,Male,Doctor,Bachelor's (completed),5,Public,Semi-Urban,4.0,3.0,3.0,3.0,3.25,4.0,5.0,3.0,3.0,3.75,3.0,4.0,4.0,2.0,3.25,4.0,3.0,3.0,5.0,3.0,3.6,3.0,4.0,3.0,3.0,3.25,Medium
85,30,Male,IT Staff,Bachelor's (completed),4,Public,Semi-Urban,3.0,2.0,3.0,3.0,2.75,3.0,3.0,3.0,4.0,3.25,3.0,3.0,,2.0,2.6666666666666665,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,Medium
86,31,Male,Nurse,Postgraduate/Doctoral,7,Public,Dhaka,2.0,3.0,2.0,3.0,2.5,1.0,3.0,3.0,2.0,2.25,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,High
87,39,Female,Nurse,Bachelor's (completed),9,Private,Dhaka,2.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.25,2.0,3.0,2.0,3.0,2.5,3.0,4.0,4.0,4.0,4.0,3.8,4.0,3.0,4.0,5.0,4.0,High
88,37,Male,Nurse,Bachelor's (completed),4,Public,Semi-Urban,3.0,3.0,3.0,2.0,2.75,5.0,5.0,4.0,5.0,4.75,4.0,3.0,3.0,2.0,3.0,,2.0,2.0,1.0,2.0,1.75,3.0,2.0,3.0,3.0,2.75,Medium
89,44,Male,IT Staff,Bachelor's (ongoing),23,Public,Chattogram,3.0,3.0,3.0,1.0,2.5,2.0,3.0,3.0,3.0,2.75,3.0,2.0,2.0,2.0,2.25,3.0,2.0,3.0,4.0,4.0,3.2,3.0,3.0,3.0,3.0,3.0,Medium
90,34,Male,Nurse,Bachelor's (ongoing),8,Private,Dhaka,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.5,2.0,3.0,2.0,2.0,2.25,4.0,4.0,5.0,,4.0,4.25,2.0,2.0,3.0,3.0,2.5,Low
91,26,Male,Nurse,Bachelor's (ongoing),6,Public,Not Applicable,,3.0,4.0,4.0,3.6666666666666665,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.75,3.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,5.0,4.0,4.5,High
92,39,Female,Healthcare Student,Bachelor's (completed),1,Public,Dhaka,5.0,5.0,5.0,4.0,4.75,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.75,3.0,4.0,4.0,3.0,4.0,3.6,5.0,5.0,5.0,5.0,5.0,High
93,40,Male,Hospital Administrator,Postgraduate/Doctoral,17,Public,Chattogram,3.0,3.0,4.0,3.0,3.25,3.0,4.0,4.0,3.0,3.5,4.0,4.0,,3.0,3.6666666666666665,3.0,3.0,3.0,5.0,5.0,3.8,3.0,3.0,5.0,2.0,3.25,Medium
94,35,Male,Doctor,Bachelor's (completed),7,Private,Dhaka,5.0,4.0,5.0,5.0,4.75,,5.0,4.0,4.0,4.333333333333333,2.0,3.0,3.0,3.0,2.75,3.0,3.0,4.0,3.0,3.0,3.2,4.0,4.0,5.0,4.0,4.25,High
